Type,MCM.Species,SNAP.1.Emissions,SNAP.2.Emissions,SNAP.34.Emissions,SNAP.5.Emissions,SNAP.6.Emissions,SNAP.71.Emissions,SNAP.72.Emissions,SNAP.73.Emissions,SNAP.74.Emissions,SNAP.8.Emissions,SNAP.9.Emissions,BVOC.Emissions,Total.Emissions
Ethane,C2H6,9.85e+08,1668300000,9.18e+09,NA,NA,9.67e+08,2.96e+08,63860000,NA,3.45e+08,210200000,NA,1.3728e+10
Propane,C3H8,2.886e+09,1086600000,2.573e+09,1.041e+11,9.72e+08,47090000,202400000,638600000,62710000,249700000,75200000,NA,1.129e+11
Butanes,NC4H10,2.127e+09,882870000,949270000,6.11e+11,3.61e+09,1.048e+09,209500000,NA,1037800000,315300000,42200000,NA,6.21e+11
,IC4H10,258600000,309660000,232311000,1.486e+11,163700000,489100000,97500000,NA,483900000,157900000,42200000,NA,1.509e+11
Pentanes,NC5H12,1.783e+09,1014960000,NA,4.548e+11,NA,6.27e+08,8.4e+07,NA,521500000,118200000,14890000,NA,4.589e+11
,IC5H12,7.52e+08,544340000,NA,2.718e+11,NA,1.216e+09,163500000,NA,1011700000,225600000,14890000,NA,2.762e+11
,NEOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14890000,NA,14890000
Hexane.and.Higher.Alkanes,NC6H14,954100000,57390000,1.211e+09,6.49e+10,3.162e+09,2.207e+09,1.246e+09,NA,193450000,4.26e+08,5160000,NA,7.44e+10
,M2PE,NA,NA,156600000,9.98e+09,6.66e+08,NA,NA,NA,NA,7.08e+08,2215000,NA,1.151e+10
,M3PE,NA,NA,117100000,4.989e+09,6.66e+08,NA,NA,NA,NA,4.26e+08,NA,NA,6.2e+09
,NC7H16,409520000,98740000,5.71e+08,6.97e+10,1.146e+09,363500000,205300000,NA,31790000,121900000,26040000,NA,7.28e+10
,M2HEX,NA,NA,NA,NA,4.3e+08,2.83e+08,159500000,NA,24710000,182900000,NA,NA,1.08e+09
,M3HEX,NA,NA,NA,NA,4.3e+08,2.02e+08,1.14e+08,NA,17634000,121900000,NA,NA,8.86e+08
,M22C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,141800000,NA,NA,141800000
,M23C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,141800000,NA,NA,141800000
,NC8H18,NA,NA,235300000,5.18e+10,125600000,319500000,179700000,NA,27890000,6.95e+08,8900000,NA,5.33e+10
,NC9H20,NA,NA,131200000,NA,3.02e+09,NA,NA,NA,NA,NA,2969000,NA,3.148e+09
,NC10H22,NA,NA,1.66e+08,NA,5.85e+09,142200000,80300000,NA,12458000,NA,4460000,NA,6.25e+09
,NC11H24,NA,NA,64600000,NA,2.387e+09,51830000,29280000,NA,4536000,78100000,1625000,NA,2.617e+09
,NC12H26,NA,NA,NA,NA,168500000,8.45e+08,476900000,NA,74100000,71700000,NA,NA,1.637e+09
,CHEX,NA,91490000,4e+07,NA,6.82e+08,NA,NA,NA,NA,NA,1506000,NA,8.15e+08
Ethene,C2H4,212300000,3695700000,3.368e+10,NA,NA,5.341e+09,3.807e+09,342500000,NA,4.62e+09,1.9e+08,NA,5.188e+10
Propene,C3H6,141700000,868200000,6.59e+08,NA,NA,1.876e+09,634800000,151810000,NA,7.86e+08,54500000,NA,5.18e+09
Higher.Alkenes,HEX1ENE,21050000,15773000,NA,NA,NA,NA,NA,NA,NA,NA,21810000,NA,58703000
,BUT1ENE,NA,22154000,240400000,NA,NA,NA,NA,NA,NA,24510000,NA,NA,286604000
,MEPROPENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,TBUT2ENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,CBUT2ENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,CPENT2ENE,NA,6961000,NA,NA,NA,NA,NA,NA,NA,4902000,NA,NA,11861000
,TPENT2ENE,NA,6961000,NA,NA,NA,NA,NA,NA,NA,4902000,NA,NA,11861000
,PENT1ENE,NA,6328000,6186000,NA,NA,NA,NA,NA,NA,19630000,NA,NA,32171000
,ME2BUT2ENE,NA,3793000,NA,NA,NA,NA,NA,NA,NA,9800000,NA,NA,13581000
,ME3BUT1ENE,NA,3793000,NA,NA,NA,NA,NA,NA,NA,9800000,NA,NA,13581000
,ME2BUT1ENE,NA,2525500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525500
Ethyne,C2H2,2697000,1252200000,426600000,NA,NA,4.975e+09,1.795e+09,134690000,252500000,1.614e+09,71500000,NA,1.051e+10
Benzene,BENZENE,269600000,1.006e+09,8.3e+08,1.621e+10,NA,1.197e+09,228300000,NA,35380000,2.83e+08,36540000,NA,2.014e+10
Toluene,TOLUENE,252700000,372760000,84400000,1.375e+10,6.8e+09,2.708e+09,1.45e+08,NA,30030000,193900000,24100000,NA,2.435e+10
Xylenes,MXYL,1.05e+08,21179000,1669300,1.994e+09,3.93e+09,5.77e+08,61040000,NA,4735000,70200000,4880000,NA,6.78e+09
,OXYL,23330000,21179000,669700,1.994e+09,9.84e+08,5.77e+08,61040000,NA,4735000,57100000,2924000,NA,3.717e+09
,PXYL,NA,21179000,669700,1.994e+09,9.84e+08,432900000,45800000,NA,3551000,70200000,3909000,NA,3.556e+09
Trimethylbenzenes,TM123B,18550,1304500,NA,NA,6.6e+07,99200000,NA,NA,NA,3330000,441000,NA,170200000
,TM124B,18550,1304500,56100000,NA,224600000,4.16e+08,NA,NA,NA,7760000,589000,NA,7.06e+08
,TM135B,18550,1304500,NA,NA,6.6e+07,158600000,NA,NA,NA,3330000,589000,NA,229900000
Other.Aromatics,EBENZ,35100000,NA,63400000,NA,179400000,430600000,341600000,119530,NA,8e+08,5250000,NA,1.856e+09
,PBENZ,NA,NA,NA,NA,39600000,380600000,301500000,105570,NA,128500000,2311000,NA,8.53e+08
,IPBENZ,NA,NA,NA,NA,145300000,NA,NA,NA,NA,128500000,2311000,NA,276300000
,PETHTOL,NA,NA,NA,NA,13210000,NA,NA,NA,NA,257500000,NA,NA,270300000
,METHTOL,NA,NA,NA,NA,39600000,NA,NA,NA,NA,257500000,NA,NA,296300000
,OETHTOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,192800000,NA,NA,192800000
,DIET35TOL,NA,NA,NA,NA,NA,8.05e+08,637600000,223800,NA,NA,NA,NA,1.443e+09
,DIME35EB,NA,NA,NA,NA,224700000,99300000,78700000,27540,NA,NA,NA,NA,4.03e+08
,STYRENE,NA,NA,64600000,NA,45700000,91500000,72500000,25440,NA,NA,NA,NA,275100000
,BENZAL,NA,NA,NA,NA,NA,153900000,121900000,42690,NA,NA,NA,NA,275900000
,PHENOL,NA,NA,71500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71500000
Formaldehyde,HCHO,611400000,2195300000,NA,NA,NA,1.177e+09,1.781e+09,85260000,NA,2.9e+09,29490000,NA,8.77e+09
Other.Aldehydes,CH3CHO,11780000,130090000,73750000,NA,NA,318400000,7.39e+08,16383000,NA,6.8e+08,6860000,NA,1.976e+09
,C2H5CHO,6710000,98630000,NA,NA,NA,53670000,124600000,2752000,NA,257700000,5200000,NA,5.49e+08
,C3H7CHO,38630,79420000,NA,NA,NA,NA,NA,NA,NA,207600000,4190000,NA,292100000
,IPRCHO,38630,79420000,NA,NA,NA,NA,NA,NA,NA,138400000,4190000,NA,222100000
,C4H9CHO,32340,66550000,NA,NA,NA,NA,NA,NA,NA,NA,3504000,NA,70050000
,ACR,49770,102260000,NA,NA,NA,83300000,193800000,4282000,NA,NA,5390000,NA,388800000
,MACR,39730,81710000,NA,NA,NA,NA,NA,NA,NA,NA,4310000,NA,86110000
,C4ALDB,39730,81710000,NA,NA,NA,44510000,103300000,2287000,NA,NA,4310000,NA,236100000
,MGLYOX,NA,NA,NA,NA,NA,NA,NA,NA,NA,138500000,NA,NA,138500000
Alkadienes.and.Other.Alkynes,C4H6,67600000,771300000,4.74e+09,2.221e+11,NA,2.505e+09,7.78e+08,245800000,458800000,1.033e+09,52800000,NA,2.332e+11
,C5H8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435e+10,1.435e+10
Organic.Acids,HCOOH,4660000,1201400000,NA,NA,NA,NA,NA,NA,NA,1.67e+08,69400000,NA,1442400000
,CH3CO2H,3572000,9.21e+08,167700000,NA,NA,NA,NA,NA,NA,1.28e+08,53200000,NA,1.274e+09
,PROPACID,2898000,746100000,NA,NA,NA,NA,NA,NA,NA,1.04e+08,43100000,NA,897100000
,ACO2H,NA,NA,140400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,140400000
Alcohols,CH3OH,140000,NA,3200000,NA,6.38e+09,NA,NA,NA,NA,40419000,24020000,NA,6.45e+09
,C2H5OH,97400,1.687e+09,90300000,NA,6.52e+09,NA,NA,NA,NA,28082900,63300000,NA,8.39e+09
,NPROPOL,74600,NA,NA,NA,5.31e+08,NA,NA,NA,NA,21563500,7670000,NA,5.61e+08
,IPROPOL,74600,NA,1135000,NA,8.49e+08,NA,NA,NA,NA,21563500,NA,NA,8.73e+08
,NBUTOL,60500,NA,NA,NA,5.17e+08,NA,NA,NA,NA,17451500,NA,NA,5.34e+08
,BUT2OL,60500,NA,NA,NA,345400000,NA,NA,NA,NA,17451500,10360000,NA,3.73e+08
,IBUTOL,60500,NA,NA,NA,215300000,NA,NA,NA,NA,17451500,NA,NA,232800000
,TBUTOL,60500,NA,NA,NA,NA,NA,NA,NA,NA,17451500,NA,NA,17489700
,PECOH,50900,NA,NA,NA,NA,NA,NA,NA,NA,14643300,NA,NA,14775400
,IPEAOH,50900,NA,NA,NA,NA,NA,NA,NA,NA,14643300,NA,NA,14775400
,ME3BUOL,50900,NA,NA,NA,NA,NA,NA,NA,NA,14643300,NA,NA,14775400
,IPECOH,50900,NA,NA,NA,NA,NA,NA,NA,NA,14643300,NA,NA,14775400
,IPEBOH,50900,NA,NA,NA,NA,NA,NA,NA,NA,14643300,NA,NA,14775400
,CYHEXOL,44800,NA,NA,NA,NA,NA,NA,NA,NA,12938100,NA,NA,12966400
,MIBKAOH,38600,NA,NA,NA,109900000,NA,NA,NA,NA,11132900,NA,NA,121100000
,ETHGLY,72300,NA,NA,NA,154300000,NA,NA,NA,NA,20861500,NA,NA,175200000
,PROPGLY,59000,NA,NA,NA,307800000,NA,NA,NA,NA,16950200,NA,NA,324800000
,C6H5CH2OH,NA,NA,NA,NA,88500000,NA,NA,NA,NA,NA,NA,NA,88500000
,MBO,52100,NA,NA,NA,NA,NA,NA,NA,NA,15044300,NA,NA,15077200
Ketones,CH3COCH3,384100,15896000,6.38e+08,NA,6.66e+09,35750000,229900000,NA,NA,382100000,1414000,NA,7.96e+09
,MEK,NA,12828000,NA,NA,3.212e+09,NA,NA,NA,NA,NA,1139000,NA,3.236e+09
,MPRK,NA,10745000,NA,NA,NA,NA,NA,NA,NA,NA,954000,NA,11705000
,DIEK,NA,10745000,NA,NA,NA,NA,NA,NA,NA,NA,954000,NA,11705000
,MIPK,NA,10745000,NA,NA,NA,NA,NA,NA,NA,NA,954000,NA,11705000
,HEX2ONE,NA,9242000,NA,NA,NA,NA,NA,NA,NA,NA,820000,NA,10062000
,HEX3ONE,NA,9242000,NA,NA,NA,NA,NA,NA,NA,NA,820000,NA,10062000
,MIBK,NA,9242000,NA,NA,1.93e+09,NA,NA,NA,NA,NA,820000,NA,1.94e+09
,MTBK,NA,9242000,NA,NA,NA,NA,NA,NA,NA,NA,820000,NA,10062000
,CYHEXONE,NA,9439000,34310000,NA,157500000,NA,NA,NA,NA,NA,837000,NA,202200000
Terpenes,APINENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3050000,1.835e+09,1.839e+09
,BPINENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3050000,1.835e+09,1.839e+09
,LIMONENE,NA,NA,NA,NA,209500000,NA,NA,NA,NA,NA,4580000,1.835e+09,2.046e+09
Esters,METHACET,NA,NA,64470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64470000
,ETHACET,NA,NA,7386000,NA,4.44e+09,NA,NA,NA,NA,NA,NA,NA,4.45e+09
,NBUTACET,NA,NA,NA,NA,3.113e+09,NA,NA,NA,NA,NA,NA,NA,3.113e+09
,IPROACET,NA,NA,NA,NA,1.095e+09,NA,NA,NA,NA,NA,NA,NA,1.095e+09
,CH3OCHO,NA,NA,7229000,NA,NA,NA,NA,NA,NA,NA,NA,NA,7229000
,NPROACET,NA,NA,NA,NA,4.1e+08,NA,NA,NA,NA,NA,7950000,NA,4.18e+08
Ethers,CH3OCH3,NA,61750000,253500000,NA,244300000,NA,NA,NA,NA,NA,NA,NA,5.59e+08
,DIETETHER,NA,38360000,94510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,132360000
,MTBE,NA,32330000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32330000
,DIIPRETHER,NA,27860000,68540000,NA,NA,NA,NA,NA,NA,NA,19520000,NA,115960000
,ETBE,NA,27860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27860000
,MO2EOL,NA,37420000,NA,NA,295700000,NA,NA,NA,NA,NA,NA,NA,3.33e+08
,EOX2EOL,NA,31600000,NA,NA,249900000,NA,NA,NA,NA,NA,NA,NA,281500000
,PR2OHMOX,NA,31600000,NA,NA,5e+08,NA,NA,NA,NA,NA,NA,NA,5.32e+08
,BUOX2ETOH,NA,24117000,NA,NA,2.398e+09,NA,NA,NA,NA,NA,NA,NA,2.422e+09
,BOX2PROL,NA,21510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21510000
Chlorinated.Hydrocarbons,CH2CL2,NA,NA,6.74e+08,NA,1.589e+09,NA,NA,NA,NA,NA,1458000,NA,2.262e+09
,CH3CH2CL,NA,NA,5.22e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22e+08
,CH3CCL3,NA,NA,NA,NA,1.113e+09,NA,NA,NA,NA,NA,464000,NA,1.114e+09
,TRICLETH,NA,NA,256600000,NA,2.516e+09,NA,NA,NA,NA,NA,471000,NA,2.776e+09
,CDICLETH,NA,NA,173100000,NA,NA,NA,NA,NA,NA,NA,951000,NA,174800000
,TDICLETH,NA,NA,173100000,NA,NA,NA,NA,NA,NA,NA,634000,NA,174600000
,CH3CL,NA,NA,5.34e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34e+08
,CCL2CH2,NA,NA,173100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,173100000
,CHCL2CH3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715000,NA,715000
,VINCL,NA,NA,1.62e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62e+08
,TCE,NA,NA,40500000,NA,6.11e+08,NA,NA,NA,NA,NA,927000,NA,6.53e+08
,CHCL3,NA,NA,112800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,112800000
Total,,1.192e+10,2.1806e+10,6.11e+10,2.049e+12,8.39e+10,3.33e+10,1.581e+10,1688300000,4.285e+09,2.059e+10,1.333e+09,1.9847e+10,2.32e+12
