Type,MCM.species,Snap.1.Emissions,Snap.2.Emissions,Snap.34.Emissions,Snap.5.Emissions,Snap.6.Emissions,Snap.71.Emissions,Snap.72.Emissions,Snap.73.Emissions,Snap.74.Emissions,Snap.8.Emissions,Snap.9.Emissions,Snap.11.Emissions,Total.Emissions
Ethane,C2H6,,4.33E+07,,,,4.78E+08,2.06E+08,3.49E+06,,1.26E+08,,,8.58E+08
Propane,C3H8,1.46E+08,1.36E+07,,3.91E+10,3.39E+08,2.33E+07,1.41E+08,3.49E+07,4.34E+07,8.61E+07,,,4.00E+10
Butanes,NC4H10,2.20E+08,7.87E+06,,3.46E+11,1.26E+09,5.18E+08,1.46E+08,,7.19E+08,8.71E+07,,,3.49E+11
,IC4H10,2.68E+07,2.76E+06,,8.42E+10,5.71E+07,2.42E+08,6.79E+07,,3.35E+08,4.36E+07,,,8.50E+10
Pentanes,NC5H12,2.44E+08,9.96E+06,,2.64E+11,,3.10E+08,5.85E+07,,3.61E+08,3.62E+07,,,2.65E+11
,IC5H12,1.03E+08,5.34E+06,,1.58E+11,,6.01E+08,1.14E+08,,7.01E+08,6.91E+07,,,1.60E+11
,NEOP,,,,,,,,,,,,,0.00E+00
Hexane.and.Higher.Alkanes,NC6H14,2.21E+07,1.19E+06,,3.76E+10,1.12E+09,1.09E+09,8.68E+08,,1.34E+08,1.59E+08,,,4.10E+10
,M2PE,,,,5.78E+09,2.37E+08,,,,,2.64E+08,,,6.28E+09
,M3PE,,,,2.89E+09,2.37E+08,,,,,1.59E+08,,,3.29E+09
,NC7H16,9.52E+06,2.04E+06,,4.04E+10,4.07E+08,1.80E+08,1.43E+08,,2.20E+07,4.55E+07,,,4.12E+10
,M2HEX,,,,,1.53E+08,1.40E+08,1.11E+08,,1.71E+07,6.82E+07,,,4.89E+08
,M3HEX,,,,,1.53E+08,9.99E+07,7.94E+07,,1.22E+07,4.55E+07,,,3.90E+08
,M22C4,,,,,,,,,,5.29E+07,,,5.29E+07
,M23C4,,,,,,,,,,5.29E+07,,,5.29E+07
,NC8H18,,,,3.00E+10,4.46E+07,1.58E+08,1.25E+08,,1.93E+07,2.59E+08,,,3.06E+10
,NC9H20,,,,,1.07E+09,,,,,,,,1.07E+09
,NC10H22,,,,,2.08E+09,7.03E+07,5.59E+07,,8.63E+06,,,,2.21E+09
,NC11H24,,,,,8.48E+08,2.56E+07,2.04E+07,,3.14E+06,2.91E+07,,,9.26E+08
,NC12H26,,,,,5.98E+07,4.18E+08,3.32E+08,,5.13E+07,2.67E+07,,,8.88E+08
,CHEX,,1.89E+06,,,2.42E+08,,,,,,,,2.44E+08
Ethene,C2H4,,9.57E+07,,,,2.64E+09,2.65E+09,1.87E+07,,1.62E+09,,,7.03E+09
Propene,C3H6,,2.82E+07,,,,9.28E+08,4.42E+08,8.31E+06,,2.71E+08,,,1.68E+09
Higher.Alkenes,HEX1ENE,,5.03E+05,,,,,,,,,,,5.03E+05
,BUT1ENE,,7.04E+05,,,,,,,,,,,7.04E+05
,MEPROPENE,,,,,,,,,,,,,0.00E+00
,TBUT2ENE,,,,,,,,,,,,,0.00E+00
,CBUT2ENE,,,,,,,,,,,,,0.00E+00
,CPENT2ENE,,2.21E+05,,,,,,,,,,,2.21E+05
,TPENT2ENE,,2.21E+05,,,,,,,,,,,2.21E+05
,PENT1ENE,,2.01E+05,,,,,,,,,,,2.01E+05
,ME2BUT2ENE,,1.21E+05,,,,,,,,,,,1.21E+05
,ME3BUT1ENE,,1.21E+05,,,,,,,,,,,1.21E+05
,ME2BUT1ENE,,8.05E+04,,,,,,,,,,,8.05E+04
Ethyne,C2H2,,3.92E+07,,,,2.46E+09,1.25E+09,7.39E+06,1.75E+08,5.83E+08,,,4.51E+09
Benzene,BENZENE,8.25E+07,2.50E+07,,9.58E+09,,5.92E+08,1.59E+08,,2.45E+07,9.72E+07,,,1.06E+10
Toluene,TOLUENE,3.88E+07,8.76E+06,,8.12E+09,2.53E+09,1.34E+09,1.01E+08,,2.08E+07,6.18E+07,,,1.22E+10
Xylenes,MXYL,,6.69E+05,,1.18E+09,1.46E+09,2.85E+08,4.25E+07,,3.28E+06,2.54E+07,,,3.00E+09
,OXYL,,6.69E+05,,1.18E+09,3.66E+08,2.85E+08,4.25E+07,,3.28E+06,2.07E+07,,,1.89E+09
,PXYL,,6.69E+05,,1.18E+09,3.66E+08,2.14E+08,3.19E+07,,2.46E+06,2.54E+07,,,1.82E+09
Trimethylbenzenes,TM123B,1.74E+03,4.15E+04,,,2.46E+07,4.90E+07,,,,,,,7.36E+07
,TM124B,1.74E+03,4.15E+04,,,8.35E+07,2.06E+08,,,,,,,2.89E+08
,TM135B,1.74E+03,4.15E+04,,,2.46E+07,7.84E+07,,,,,,,1.03E+08
Other.Aromatics,EBENZ,,,,,6.67E+07,2.13E+08,2.38E+08,6.53E+03,,3.10E+08,,,8.28E+08
,PBENZ,,,,,1.47E+07,1.88E+08,2.10E+08,5.77E+03,,4.98E+07,,,4.63E+08
,IPBENZ,,,,,5.40E+07,,,,,4.98E+07,,,1.04E+08
,PETHTOL,,,,,4.91E+06,,,,,9.96E+07,,,1.05E+08
,METHTOL,,,,,1.47E+07,,,,,9.96E+07,,,1.14E+08
,OETHTOL,,,,,,,,,,7.47E+07,,,7.47E+07
,DIET35TOL,,,,,,3.98E+08,4.44E+08,1.22E+04,,,,,8.42E+08
,DIME35EB,,,,,8.36E+07,4.91E+07,5.48E+07,1.51E+03,,,,,1.88E+08
,STYRENE,,,,,1.70E+07,4.52E+07,5.05E+07,1.39E+03,,,,,1.13E+08
,BENZAL,,,,,,7.61E+07,8.49E+07,2.33E+03,,,,,1.61E+08
,PHENOL,,,,,,,,,,,,,0.00E+00
Formaldehyde,HCHO,4.29E+08,2.93E+07,,,,5.82E+08,1.24E+09,4.66E+06,,7.59E+08,,,3.04E+09
Other.Aldehydes,CH3CHO,,4.79E+06,,,,1.57E+08,5.15E+08,8.93E+05,,2.10E+08,,,8.88E+08
,C2H5CHO,,3.63E+06,,,,2.65E+07,8.68E+07,1.50E+05,,7.97E+07,,,1.97E+08
,C3H7CHO,3.63E+03,2.92E+06,,,,,,,,6.42E+07,,,6.71E+07
,IPRCHO,3.63E+03,2.92E+06,,,,,,,,4.28E+07,,,4.57E+07
,C4H9CHO,3.04E+03,2.45E+06,,,,,,,,,,,2.45E+06
,ACR,4.67E+03,3.76E+06,,,,4.12E+07,1.35E+08,2.34E+05,,,,,1.80E+08
,MACR,3.73E+03,3.01E+06,,,,,,,,,,,3.01E+06
,C4ALDB,3.73E+03,3.01E+06,,,,2.20E+07,7.19E+07,1.25E+05,,,,,9.70E+07
,MGLYOX,,,,,,,,,,4.28E+07,,,4.28E+07
Alkadienes.and.Other.Alkynes,C4H6,,1.26E+07,,6.57E+10,,1.24E+09,5.42E+08,1.34E+07,3.18E+08,3.51E+08,,,6.82E+10
,C5H8,,1.00E+07,,5.22E+10,,,,,,,,1.03E+10,6.25E+10
Organic.Acids,HCOOH,,4.04E+07,,,,,,,,,,,4.04E+07
,CH3CO2H,,3.10E+07,,,,,,,,,,,3.10E+07
,PROPACID,,2.51E+07,,,,,,,,,,,2.51E+07
,ACO2H,,,,,,,,,,,,,0.00E+00
Alcohols,CH3OH,,,,,2.40E+09,,,,,,,,2.40E+09
,C2H5OH,,6.30E+07,,,2.45E+09,,,,,,,,2.51E+09
,NPROPOL,,,,,2.00E+08,,,,,,,,2.00E+08
,IPROPOL,,,,,3.19E+08,,,,,,,,3.19E+08
,NBUTOL,,,,,1.94E+08,,,,,,,,1.94E+08
,BUT2OL,,,,,1.30E+08,,,,,,,,1.30E+08
,IBUTOL,,,,,8.09E+07,,,,,,,,8.09E+07
,TBUTOL,,,,,,,,,,,,,0.00E+00
,PECOH,,,,,,,,,,,,,0.00E+00
,IPEAOH,,,,,,,,,,,,,0.00E+00
,ME3BUOL,,,,,,,,,,,,,0.00E+00
,IPECOH,,,,,,,,,,,,,0.00E+00
,IPEBOH,,,,,,,,,,,,,0.00E+00
,CYHEXOL,,,,,,,,,,,,,0.00E+00
,MIBKAOH,,,,,4.13E+07,,,,,,,,4.13E+07
,ETHGLY,,,,,5.80E+07,,,,,,,,5.80E+07
,PROPGLY,,,,,1.16E+08,,,,,,,,1.16E+08
,C6H5CH2OH,,,,,3.33E+07,,,,,,,,3.33E+07
,MBO,,,,,,,,,,0.00E+00,,,0.00E+00
Ketones,CH3COCH3,3.61E+04,5.56E+05,,,2.47E+09,1.77E+07,1.60E+08,,,9.81E+07,,,2.75E+09
,MEK,,4.48E+05,,,1.19E+09,,,,,,,,1.20E+09
,MPRK,,3.75E+05,,,,,,,,,,,3.75E+05
,DIEK,,3.75E+05,,,,,,,,,,,3.75E+05
,MIPK,,3.75E+05,,,,,,,,,,,3.75E+05
,HEX2ONE,,3.22E+05,,,,,,,,,,,3.22E+05
,HEX3ONE,,3.22E+05,,,,,,,,,,,3.22E+05
,MIBK,,3.22E+05,,,7.17E+08,,,,,,,,7.17E+08
,MTBK,,3.22E+05,,,,,,,,,,,3.22E+05
,CYHEXONE,,3.29E+05,,,5.85E+07,,,,,,,,5.89E+07
Terpenes,APINENE,,,,,,,,,,,,1.19E+09,1.19E+09
,BPINENE,,,,,,,,,,,,1.19E+09,1.19E+09
,LIMONENE,,,,,7.31E+07,,,,,,,1.19E+09,1.26E+09
Esters,METHACET,,,,,,,,,,,,,0.00E+00
,ETHACET,,,,,1.68E+09,,,,,,,,1.68E+09
,NBUTACET,,,,,1.18E+09,,,,,,,,1.18E+09
,IPROACET,,,,,4.14E+08,,,,,,,,4.14E+08
,CH3OCHO,,,,,,,,,,,,,0.00E+00
,NPROACET,,,,,1.55E+08,,,,,,,,1.55E+08
Ethers,CH3OCH3,,2.35E+06,,,9.06E+07,,,,,,,,9.30E+07
,DIETETHER,,1.46E+06,,,,,,,,,,,1.46E+06
,MTBE,,1.23E+06,,,,,,,,,,,1.23E+06
,DIIPRETHER,,1.06E+06,,,,,,,,,,,1.06E+06
,ETBE,,1.06E+06,,,,,,,,,,,1.06E+06
,MO2EOL,,1.42E+06,,,1.10E+08,,,,,,,,1.11E+08
,EOX2EOL,,1.20E+06,,,9.27E+07,,,,,,,,9.39E+07
,PR2OHMOX,,1.20E+06,,,1.85E+08,,,,,,,,1.87E+08
,BUOX2ETOH,,9.17E+05,,,8.89E+08,,,,,,,,8.90E+08
,BOX2PROL,,8.20E+05,,,,,,,,,,,8.20E+05
Chlorinated.Hydrocarbons,CH2CL2,,,,,4.08E+08,,,,,,,,4.08E+08
,CH3CH2CL,,,,,,,,,,,,,0.00E+00
,CH3CCL3,,,,,2.86E+08,,,,,,,,2.86E+08
,TRICLETH,,,,,6.46E+08,,,,,,,,6.46E+08
,CDICLETH,,,,,,,,,,,,,0.00E+00
,TDICLETH,,,,,,,,,,,,,0.00E+00
,CH3CL,,,,,,,,,,,,,0.00E+00
,CCL2CH2,,,,,,,,,,,,,0.00E+00
,CHCL2CH3,,,,,,,,,,,,,0.00E+00
,VINCL,,,,,,,,,,,,,0.00E+00
,TCE,,,,,1.57E+08,,,,,,,,1.57E+08
,CHCL3,,,,,,,,,,,,,0.00E+00
Total,,1.32E+09,5.43E+08,0.00E+00,1.15E+12,3.02E+10,1.65E+10,1.10E+10,9.23E+07,2.97E+09,6.65E+09,0.00E+00,1.39E+10,1.23E+12